ID,acc,Confidence,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_5,1,-2,1.15448033088035,0,1.15448033088035,BC,F,U,2,Premise,0,2
Participant_5,0,-2,1.56425562158097,1.56425562158097,0,CD,F,U,2,Premise,0,2
Participant_5,0,-1.5,1.16510873692755,1.16510873692755,0,DE,F,U,2,Premise,0,2
Participant_5,0,-2,1.17915653191301,1.17915653191301,0,EF,F,U,2,Premise,0,2
Participant_5,1,-2,1.03807639808281,0,1.03807639808281,BD,F,U,2,Inference,1,2
Participant_5,0,-2,1.01948746369453,1.01948746369453,0,CE,F,U,2,Inference,1,2
Participant_5,1,-2,1.18809564128617,0,1.18809564128617,BE,F,U,2,Inference,2,2
Participant_5,0,-2,1.70758130894831,1.70758130894831,0,AF,F,U,2,Anchor,3,2
Participant_5,1,0.5,1.36916263842272,0,1.36916263842272,AB,O,C,2,Premise,0,2
Participant_5,1,1,1.81615992897969,0,1.81615992897969,BC,O,C,2,Premise,0,2
Participant_5,1,0,1.21837700257606,0,1.21837700257606,CD,O,C,2,Premise,0,2
Participant_5,1,-1.5,1.57018329792584,0,1.57018329792584,DE,O,C,2,Premise,0,2
Participant_5,1,0.5,1.40697091453967,0,1.40697091453967,EF,O,C,2,Premise,0,2
Participant_5,0,0,1.47333020310555,1.47333020310555,0,BD,O,C,2,Inference,1,2
Participant_5,1,0.5,1.42525657604403,0,1.42525657604403,CE,O,C,2,Inference,1,2
Participant_5,0,-1,1.69749376520213,1.69749376520213,0,BE,O,C,2,Inference,2,2
Participant_5,1,-2,1.36263842277583,0,1.36263842277583,AF,O,C,2,Anchor,3,2
Participant_5,1,1,1.25335858041581,0,1.25335858041581,AB,S,D,2,Premise,0,3
Participant_5,1,-1,0.942578281351075,0,0.942578281351075,BC,S,D,2,Premise,0,3
Participant_5,0.5,-2,0.933481377710677,0.853691102969151,1.0132716524522,CD,S,D,2,Premise,0,3
Participant_5,0.5,-0.5,1.05838901033462,0.828502006424515,1.28827601424473,DE,S,D,2,Premise,0,3
Participant_5,0.5,-1,1.22197984338572,1.49477508543941,0.949184601332036,EF,S,D,2,Premise,0,3
Participant_5,0,-1.5,1.17215380194375,1.17215380194375,0,BD,S,D,2,Inference,1,3
Participant_5,0.5,-2,0.814368258464583,0.908288945677668,0.720447571251498,CE,S,D,2,Inference,1,3
Participant_5,0.5,-1,1.15798464648969,1.37967301948993,0.936296273489461,BE,S,D,2,Inference,2,3
Participant_5,0.5,-0.5,1.17696768168162,1.21460276896869,1.13933259439455,AF,S,D,2,Anchor,3,3
Participant_5,0.5,-2,1.26691759803748,1.1720722107616,1.36176298531336,AB,F,U,2,Premise,0,3
Participant_5,1,-2,0.923332512290017,0,0.923332512290017,BC,F,U,2,Premise,0,3
Participant_5,0,-1.5,1.57580128698532,1.57580128698532,0,CD,F,U,2,Premise,0,3
Participant_5,0,-2,1.19993457310875,1.19993457310875,0,DE,F,U,2,Premise,0,3
Participant_5,0,-2,1.43002966019048,1.43002966019048,0,EF,F,U,2,Premise,0,3
Participant_5,1,-1.5,1.25155946919563,0,1.25155946919563,BD,F,U,2,Inference,1,3
Participant_5,0,-1.5,1.32309569260133,1.32309569260133,0,CE,F,U,2,Inference,1,3
Participant_5,1,-1.5,1.10369212927344,0,1.10369212927344,BE,F,U,2,Inference,2,3
Participant_5,0,-2,0.993338772745346,0.993338772745346,0,AF,F,U,2,Anchor,3,3
Participant_5,1,0,1.23658902675584,0,1.23658902675584,AB,O,C,2,Premise,0,3
